,Keyword,Total_rows
0,Matsuno,35
1,Aso,32
2,Motegi,30
3,Kihara,20
4,Yamaguchi,17
5,Nemoto,12
7,Isozaki,10
6,Moriyama,10
8,Endo,8
9,Seko,7
12,Amari,6
11,Hagiuda,6
14,Hayashi,6
10,Hayashi Motoo,6
13,Tokura,6
21,Fujikawa,5
17,Kokuba,5
20,Matsuyama,5
16,Muto,5
18,Nakamoto,5
15,Sekiguchi,5
19,Takagi,5
22,Horiuchi,4
23,Nogami,4
24,Sekine,4
25,Yamaguchi Shunichi,4
